SPNO,Species_Name,Sex,Size,Chela,Shell_Condition,Clutch,Collection_Comments,BODYID,VISUAL,DISTID,Year,Date,HISTO_result,SMEAR_result,T_Rating,BCS_PCR_results,Specific_Location,General_Location,ReferenceNO,C_V_H,Cruise,Vessel,Haul,StationID,Stratum,LME,Bering_Sea_Regions,Haul_Date,Latitude,Longitude,Depth,Bottom_Type,Bottom_Temp,Surface_Temp
19780053,Paralithodes camtschaticus,3,100,NA,1,NA,NA,LGU,121,NA,1978,6/1/1978 0:00,7777,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780056,Paralithodes camtschaticus,3,102,NA,0,NA,NA,NA,NA,NA,1978,6/1/1978 0:00,4,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780059,Paralithodes camtschaticus,3,150,NA,1,NA,NA,LGU,121,NA,1978,6/1/1978 0:00,4,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780061,Chionoecetes bairdi,3,120,NA,0,NA,NA,CAR,247,NA,1978,6/1/1978 0:00,183,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780064,Chionoecetes bairdi,3,175,NA,1,NA,NA,NA,NA,NA,1978,6/1/1978 0:00,620,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780067,Chionoecetes bairdi,3,145,NA,1,NA,NA,LGS,121,NA,1978,6/1/1978 0:00,183,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780069,Cancer magister,3,150,NA,3,NA,NA,NA,NA,NA,1978,6/1/1978 0:00,9,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780070,Chionoecetes bairdi,3,NA,NA,2,NA,NA,LGS,121,NA,1978,6/1/1978 0:00,4,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780073,Chionoecetes bairdi,3,190,NA,0,NA,NA,LGS,121,NA,1978,6/1/1978 0:00,3,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780076,Chionoecetes bairdi,3,135,NA,1,NA,NA,NA,NA,NA,1978,6/1/1978 0:00,183,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19780082,Chionoecetes bairdi,3,110,NA,0,NA,NA,CAR,247,NA,1978,6/1/1978 0:00,183,9999,NA,9999,KLB,GOA,NA,1978_999_2,1978,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790002,Chionoecetes bairdi,1,114,NA,0,NA,NA,GIL,316,6,1979,1/1/1979 0:00,183,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790005,Chionoecetes bairdi,2,95,NA,0,NA,NA,CAR,316,15,1979,1/1/1979 0:00,183,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790020,Chionoecetes bairdi,1,146,NA,0,NA,NA,CAR,316,15,1979,1/1/1979 0:00,183,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790023,Chionoecetes bairdi,1,133,NA,2,NA,NA,LGU,120,NA,1979,1/1/1979 0:00,4,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790026,Chionoecetes bairdi,1,146,NA,2,NA,NA,NA,NA,NA,1979,1/1/1979 0:00,4,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790029,Chionoecetes bairdi,1,130,NA,0,NA,NA,CAR,316,14,1979,1/1/1979 0:00,183,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790101,Chionoecetes tanneri,1,127,NA,0,NA,NA,LL5,316,14,1979,7/1/1979 0:00,216,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790119,Chionoecetes bairdi,1,127,NA,1,NA,NA,NA,NA,NA,1979,8/1/1979 0:00,4,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790122,Chionoecetes bairdi,1,121,NA,1,NA,NA,NA,NA,NA,1979,8/1/1979 0:00,4,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790125,Chionoecetes bairdi,1,133,NA,2,NA,NA,NA,NA,NA,1979,8/1/1979 0:00,600,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790128,Chionoecetes bairdi,1,136,NA,2,NA,NA,NA,NA,NA,1979,8/1/1979 0:00,600,9999,NA,9999,PWS,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790131,Chionoecetes bairdi,1,133,NA,4,NA,NA,NA,NA,NA,1979,8/1/1979 0:00,4,9999,NA,9999,EGI,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790134,Chionoecetes bairdi,1,121,NA,4,NA,NA,LGU,120,NA,1979,8/1/1979 0:00,7777,9999,NA,9999,EGI,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790137,Chionoecetes bairdi,1,143,NA,3,NA,NA,LGU,120,NA,1979,8/1/1979 0:00,4,9999,NA,9999,EGI,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790140,Chionoecetes bairdi,1,133,NA,4,NA,NA,BEH,189,NA,1979,8/1/1979 0:00,7777,9999,NA,9999,EGI,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790155,Chionoecetes bairdi,1,133,NA,1,NA,NA,NA,NA,NA,1979,9/1/1979 0:00,4,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790158,Chionoecetes bairdi,2,98,NA,0,NA,NA,CAR,316,14,1979,9/1/1979 0:00,183,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790161,Chionoecetes bairdi,1,NA,NA,0,NA,NA,CAR,316,NA,1979,9/1/1979 0:00,183,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790164,Chionoecetes bairdi,1,117,NA,0,NA,NA,CAR,316,12,1979,9/1/1979 0:00,183,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790194,Chionoecetes bairdi,1,146,NA,0,NA,NA,CAR,316,6,1979,12/1/1979 0:00,183,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19790197,Chionoecetes bairdi,1,133,NA,0,NA,NA,CAR,316,15,1979,12/1/1979 0:00,183,9999,NA,9999,UKN,GOA,NA,1979_999_2,1979,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800018,Chionoecetes bairdi,1,139,NA,2,NA,NA,GIL,114,12,1980,2/23/1980 0:00,183,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800021,Chionoecetes bairdi,1,133,NA,2,NA,NA,CAR,116,10,1980,2/23/1980 0:00,229,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800023,Cancer magister,2,158,NA,2,NA,NA,NA,NA,NA,1980,2/27/1980 0:00,4,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800057,Chionoecetes bairdi,1,133,NA,2,NA,NA,NA,NA,NA,1980,3/31/1980 0:00,7777,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800060,Chionoecetes bairdi,1,133,NA,2,NA,NA,LGS,120,6,1980,3/31/1980 0:00,4,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800063,Chionoecetes bairdi,1,133,NA,2,NA,NA,NA,NA,NA,1980,3/31/1980 0:00,4,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800102,Chionoecetes bairdi,1,168,NA,2,NA,NA,EYE,116,NA,1980,5/7/1980 0:00,229,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800105,Chionoecetes bairdi,1,152,NA,2,NA,NA,CAR,116,10,1980,5/7/1980 0:00,183,9999,NA,9999,PWS,GOA,NA,1980_999_2,1980,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19800141,Chionoecetes opilio,2,70,NA,3,NA,NA,SPN,101,NA,1980,6/30/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19800145,Chionoecetes bairdi,2,89,NA,3,NA,NA,EXO,116,6,1980,7/2/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19800148,Chionoecetes bairdi,2,83,NA,2,NA,NA,EXO,116,6,1980,7/2/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19800151,Chionoecetes bairdi,2,101,NA,3,NA,NA,EXO,116,6,1980,7/7/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19800154,Chionoecetes bairdi,2,101,NA,3,NA,NA,EXO,116,6,1980,7/8/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19800157,Chionoecetes bairdi,2,89,NA,3,NA,NA,EXO,116,NA,1980,7/8/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19800160,Chionoecetes bairdi,3,NA,NA,0,NA,NA,NA,NA,NA,1980,7/8/1980 0:00,3,9999,NA,9999,UKN,BS,NA,1980_999_3,1980,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820093,Chionoecetes bairdi,1,NA,NA,2,NA,NA,NA,NA,NA,1982,3/16/1982 0:00,4,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820099,Chionoecetes bairdi,1,135,NA,2,NA,NA,NA,NA,NA,1982,3/17/1982 0:00,4,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820102,Chionoecetes bairdi,1,133,NA,3,NA,NA,NA,NA,NA,1982,3/17/1982 0:00,229,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820105,Chionoecetes bairdi,1,145,NA,3,NA,NA,LR2,120,NA,1982,3/17/1982 0:00,229,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820108,Chionoecetes bairdi,1,147,NA,3,NA,NA,GIL,114,NA,1982,3/17/1982 0:00,4,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820112,Paralithodes camtschaticus,2,111,NA,3,NA,NA,NA,NA,NA,1982,3/18/1982 0:00,1980,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820114,Chionoecetes bairdi,1,151,NA,3,NA,NA,NA,NA,NA,1982,3/18/1982 0:00,4,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820117,Chionoecetes bairdi,1,155,NA,2,NA,NA,CAR,216,1,1982,3/18/1982 0:00,183,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820120,Chionoecetes bairdi,1,NA,NA,2,NA,NA,CAR,216,NA,1982,3/18/1982 0:00,183,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820123,Chionoecetes bairdi,1,142,NA,3,NA,NA,EXO,216,NA,1982,3/18/1982 0:00,4,9999,NA,9999,SPH,GOA,NA,1982_999_2,1982,999,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
19820222,Chionoecetes opilio,2,64,NA,3,NA,NA,CAR,215,NA,1982,7/1/1982 0:00,1510,9999,NA,9999,UKN,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820225,Chionoecetes opilio,2,55,NA,3,NA,NA,CAR,215,6,1982,7/1/1982 0:00,13,9999,NA,9999,UKN,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820228,Chionoecetes opilio,2,60,NA,5,NA,NA,CAR,215,NA,1982,7/1/1982 0:00,1170,9999,NA,9999,UKN,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820231,Chionoecetes opilio,2,52,NA,5,NA,NA,CAR,215,NA,1982,7/7/1982 0:00,7777,9999,NA,9999,BE,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820232,Paralithodes camtschaticus,1,90,NA,2,NA,NA,HEP,282,NA,1982,5/28/1982 0:00,7777,9999,NA,9999,UKN,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820237,Chionoecetes tanneri,3,NA,NA,0,NA,NA,NA,NA,NA,1982,8/1/1982 0:00,183,9999,NA,9999,UKN,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
19820240,Chionoecetes opilio,2,65,NA,4,NA,NA,CAR,215,3,1982,8/23/1982 0:00,229,9999,NA,9999,UKN,BS,NA,1982_999_3,1982,999,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
