Specific_Location_Code,Specific_Location,Notes,Latitude,Longitude,General_Location_Code,General_Location
2014Index1,2014 Bitter Crab Syndrome Index Site 1,,,,AC,Atlantic Coast - North America
2014Index2,2014 Bitter Crab Syndrome Index Site 2,,,,AE,Atlantic Coast – Europe
2014Index3,2014 Bitter Crab Syndrome Index Site 3,,,,AI,Aleutian Islands
2014Index4,2014 Bitter Crab Syndrome Index Site 4,,,,AR,Arctic Ocean
2014Index5,2014 Bitter Crab Syndrome Index Site 5,,,,AU,Australia
2014Index6,2014 Bitter Crab Syndrome Index Site 6,,,,BS,Bering Sea 
31,Tank 31 - USGS Marrowstone Island Captive Experiment,Treatment tank - project ICH 11-4,,,CA,Canadian Pacific Coast 
AB,"Auke Bay, Southest Alaska",,,,CC,California Pacific Coast 
ADA,"Adak Island, Alaska",,,,CI,Cook Inlet 
ADM,"Admirality Bay, Puget Sound",,,,CS,Chukchi Sea
AFI,"Afognak Island, Gulf of Alaska",,,,FR,France
AG,"Agate Bridge, Puget Sound",,,,GL,Greenland
ALB,"Alitak Bay, Kodiak ",,,,GM,Gulf of Mexico
ALK,"Alki Beach, Puget Sound",Pam dive/intertidal location,47.57723,-122.42372,GOA,Gulf of Alaska 
ALS,"Alsea Bay, OR",,,,GS,"Strait of Georgia, British Columbia"
ANA,"Anacortes, Washington",,,,HC,Hood Canal
AYP,"Ayers Pt, Hood Canal, WA",Pam dive/intertidal location,47.37467,-123.11353,MMF,Marrowstone Marine Field Station Laboratory - USGS
BAJ,"Baja Mexico, unspecified",,,,MX,Mexico Pacific
BAM,"Bamfield, British Columbia, Canada",,,,NP,North Pacific - Unspecified
BAR,"Barlow Cove, SE Alaska",,,,NS,Norton Sound 
BB,"Bristol Bay, Bering Sea",,,,OC,Oregon Pacific Coast 
BBC,"Big Beef Creek, Hood Canal ",,,,OK,Sea of Okhotsk
BC,"British Columbia, Canada - Unspecified",,,,PS,Puget Sound 
BE,See tbl_Archive_Stations for station #,,,,SE,Southeast Alaska 
BFT,"Beaufort Sea, Arctic Ocean",,,,SG,"South Georgia, South Atlantic"
BGT,"Building 32 Growing Tanks, NOAA Sand Point Way",,,,SJ,Strait of Juan de Fuca
BIS,"Blake Island, Puget Sound",,,,SP,South Pacific
BLL,"Blair Waterway - Lower, Puget Sound",,,,SU,Pacific U.S.S.R. (Bering Sea)
BLU,"Blair Waterway - Upper, Puget Sound",,,,USF,United States Freshwater
BOC,"Boeing Creek, Puget Sound",,,,WA,"Washington, Unspecified"
BOD,"Bodega Bay, California",Pam dive/intertidal location,38.31667,-123.03333,WC,Washington Pacific Coast 
BPB,"Blakely Point, Bainbridge Island, Washington",,,,,
BRB,"Burrows Bay, Strait of Juan de Fuca",,,,,
BS,"Bering Shelf (Unknown), Bering Sea ",,,,,
