Vessel,Vessel_Name
162,Alaska Knight
89,Aldebaran
88,Arcturus
60,Argosy
172,F/V Big Blue (Pathology)
168,F/V Loki (Pathology)
171,F/V Miss Linda
165,F/V Monica Jene (Pathology)
164,F/V Nanna L. (Pathology)
147,Gladiator
83,Green Hope
166,Karma (Pathology)
173,Linnea (Pathology)
23,M/V Dominator
18,M/V North Pacific
169,M/V Valkyrie (Pathology)
150,Medeia (ADFG)
57,Morning Star
134,Northwest Explorer
167,Northwestern (Pathology)
793,Novodrutsk
758,Novokotovsk
148,Ocean Explorer
78,Ocean Hope 3
159,Pacific Explorer
95,Pacific Knight
795,Professor Kaganovskiy
163,R/V Adolf Jensen (Pathology)
37,R/V Alaska
1,R/V Chapman
25,R/V David Starr Jordan
2,R/V John N. Cobb
21,R/V Miller Freeman
41,R/V Resolution
146,Sea Fisher
143,Sea Storm
156,Shamook (DFO)
999,Shore and/or Dock
170,Stanley K (Pathology)
0,Unknown
399,Unspecified (Collected by ADFG)
368,Unspecified (Collected by Observer)
369,Unspecified (Collected by Observer)
370,Unspecified (Collected by Observer)
371,Unspecified (Collected by Observer)
372,Unspecified (Collected by Observer)
373,Unspecified (Collected by Observer)
374,Unspecified (Collected by Observer)
375,Unspecified (Collected by Observer)
376,Unspecified (Collected by Observer)
377,Unspecified (Collected by Observer)
378,Unspecified (Collected by Observer)
380,Unspecified (Collected by Observer)
300,Unspecified (Collected by Observer)
301,Unspecified (Collected by Observer)
302,Unspecified (Collected by Observer)
303,Unspecified (Collected by Observer)
304,Unspecified (Collected by Observer)
305,Unspecified (Collected by Observer)
306,Unspecified (Collected by Observer)
307,Unspecified (Collected by Observer)
309,Unspecified (Collected by Observer)
310,Unspecified (Collected by Observer)
311,Unspecified (Collected by Observer)
312,Unspecified (Collected by Observer)
313,Unspecified (Collected by Observer)
314,Unspecified (Collected by Observer)
315,Unspecified (Collected by Observer)
316,Unspecified (Collected by Observer)
317,Unspecified (Collected by Observer)
318,Unspecified (Collected by Observer)
319,Unspecified (Collected by Observer)
320,Unspecified (Collected by Observer)
321,Unspecified (Collected by Observer)
322,Unspecified (Collected by Observer)
323,Unspecified (Collected by Observer)
324,Unspecified (Collected by Observer)
325,Unspecified (Collected by Observer)
326,Unspecified (Collected by Observer)
327,Unspecified (Collected by Observer)
328,Unspecified (Collected by Observer)
329,Unspecified (Collected by Observer)
330,Unspecified (Collected by Observer)
331,Unspecified (Collected by Observer)
332,Unspecified (Collected by Observer)
333,Unspecified (Collected by Observer)
334,Unspecified (Collected by Observer)
335,Unspecified (Collected by Observer)
336,Unspecified (Collected by Observer)
337,Unspecified (Collected by Observer)
338,Unspecified (Collected by Observer)
339,Unspecified (Collected by Observer)
340,Unspecified (Collected by Observer)
341,Unspecified (Collected by Observer)
342,Unspecified (Collected by Observer)
343,Unspecified (Collected by Observer)
344,Unspecified (Collected by Observer)
345,Unspecified (Collected by Observer)
346,Unspecified (Collected by Observer)
347,Unspecified (Collected by Observer)
348,Unspecified (Collected by Observer)
349,Unspecified (Collected by Observer)
353,Unspecified (Collected by Observer)
354,Unspecified (Collected by Observer)
355,Unspecified (Collected by Observer)
356,Unspecified (Collected by Observer)
357,Unspecified (Collected by Observer)
358,Unspecified (Collected by Observer)
359,Unspecified (Collected by Observer)
360,Unspecified (Collected by Observer)
361,Unspecified (Collected by Observer)
362,Unspecified (Collected by Observer)
363,Unspecified (Collected by Observer)
364,Unspecified (Collected by Observer)
365,Unspecified (Collected by Observer)
366,Unspecified (Collected by Observer)
367,Unspecified (Collected by Observer)
94,Vesteraalen
61,Viking Queen
499,W. E. Ricker
158,Wilfred Templeman (DFO)
